Data;Hora;Turno;IBUTG (Int.);IBUTG (Ext.);TA;TG;TBU;Ponto de orvalho;UR;;;
17/01/2020;07:35:57;dia;23,3 °C; 23,3 °C; 24,8 °C; 25,2 °C; 22,5 °C; 21,4 °C;81,40%;;;
17/01/2020;07:37:57;dia;23,3 °C; 23,3 °C; 24,9 °C; 25,3 °C; 22,5 °C; 21,4 °C;80,70%;;;
17/01/2020;07:39:57;dia;23,3 °C; 23,3 °C; 24,9 °C; 25,3 °C; 22,5 °C; 21,5 °C;81,20%;;;
17/01/2020;07:41:57;dia;23,3 °C; 23,3 °C; 24,9 °C; 25,3 °C; 22,5 °C; 21,4 °C;81,00%;;;
17/01/2020;07:43:57;dia;23,3 °C; 23,3 °C; 24,9 °C; 25,2 °C; 22,5 °C; 21,5 °C;81,30%;;;
17/01/2020;07:45:57;dia;23,3 °C; 23,2 °C; 24,8 °C; 25,1 °C; 22,5 °C; 21,4 °C;81,20%;;;
17/01/2020;07:47:57;dia;23,2 °C; 23,2 °C; 24,8 °C; 25,1 °C; 22,4 °C; 21,3 °C;80,90%;;;
17/01/2020;07:49:57;dia;23,2 °C; 23,2 °C; 24,8 °C; 25,1 °C; 22,4 °C; 21,3 °C;80,90%;;;
17/01/2020;07:51:57;dia;23,3 °C; 23,3 °C; 24,9 °C; 25,1 °C; 22,5 °C; 21,4 °C;80,90%;;;
17/01/2020;07:53:57;dia;23,3 °C; 23,3 °C; 24,9 °C; 25,2 °C; 22,5 °C; 21,4 °C;80,80%;;;
17/01/2020;07:55:57;dia;23,2 °C; 23,2 °C; 24,9 °C; 25,2 °C; 22,4 °C; 21,3 °C;80,60%;;;
17/01/2020;07:57:57;dia;23,3 °C; 23,2 °C; 24,9 °C; 25,3 °C; 22,4 °C; 21,3 °C;80,50%;;;
17/01/2020;07:59:57;dia;23,3 °C; 23,3 °C; 25,0 °C; 25,3 °C; 22,5 °C; 21,4 °C;80,40%;;;
17/01/2020;08:01:57;dia;23,4 °C; 23,4 °C; 25,0 °C; 25,3 °C; 22,6 °C; 21,6 °C;81,50%;;;
17/01/2020;08:03:57;dia;23,4 °C; 23,4 °C; 25,0 °C; 25,4 °C; 22,6 °C; 21,6 °C;81,30%;;;
17/01/2020;08:05:57;dia;23,5 °C; 23,4 °C; 25,0 °C; 25,5 °C; 22,6 °C; 21,5 °C;80,90%;;;
17/01/2020;08:07:57;dia;23,2 °C; 23,2 °C; 25,0 °C; 25,4 °C; 22,3 °C; 21,0 °C;78,60%;;;
17/01/2020;08:09:57;dia;23,4 °C; 23,4 °C; 25,1 °C; 25,5 °C; 22,5 °C; 21,3 °C;79,30%;;;
17/01/2020;08:11:57;dia;23,3 °C; 23,3 °C; 25,1 °C; 25,5 °C; 22,4 °C; 21,1 °C;78,40%;;;
17/01/2020;08:13:57;dia;23,4 °C; 23,3 °C; 25,0 °C; 25,4 °C; 22,5 °C; 21,4 °C;80,30%;;;
17/01/2020;08:15:57;dia;23,4 °C; 23,4 °C; 24,9 °C; 25,2 °C; 22,7 °C; 21,7 °C;82,60%;;;
17/01/2020;08:17:57;dia;23,3 °C; 23,3 °C; 24,9 °C; 25,3 °C; 22,5 °C; 21,5 °C;81,60%;;;
17/01/2020;08:19:57;dia;23,2 °C; 23,2 °C; 24,8 °C; 25,4 °C; 22,3 °C; 21,2 °C;80,40%;;;
17/01/2020;08:21:57;dia;23,5 °C; 23,4 °C; 25,0 °C; 25,6 °C; 22,6 °C; 21,5 °C;80,90%;;;
17/01/2020;08:23:57;dia;23,5 °C; 23,4 °C; 25,1 °C; 25,7 °C; 22,5 °C; 21,4 °C;80,20%;;;
17/01/2020;08:25:57;dia;23,6 °C; 23,5 °C; 25,2 °C; 25,9 °C; 22,6 °C; 21,5 °C;80,20%;;;
17/01/2020;08:27:57;dia;23,6 °C; 23,5 °C; 25,2 °C; 25,9 °C; 22,6 °C; 21,4 °C;79,30%;;;
17/01/2020;08:29:57;dia;23,6 °C; 23,6 °C; 25,3 °C; 26,0 °C; 22,6 °C; 21,4 °C;79,10%;;;
17/01/2020;08:31:57;dia;23,5 °C; 23,4 °C; 25,2 °C; 26,0 °C; 22,4 °C; 21,2 °C;78,40%;;;
17/01/2020;08:33:57;dia;23,7 °C; 23,6 °C; 25,4 °C; 26,1 °C; 22,7 °C; 21,5 °C;79,00%;;;
17/01/2020;08:35:57;dia;23,6 °C; 23,5 °C; 25,4 °C; 26,2 °C; 22,5 °C; 21,2 °C;77,70%;;;
17/01/2020;08:37:57;dia;23,5 °C; 23,5 °C; 25,4 °C; 26,2 °C; 22,4 °C; 21,1 °C;77,10%;;;
17/01/2020;08:39:57;dia;23,5 °C; 23,4 °C; 25,3 °C; 26,1 °C; 22,4 °C; 21,0 °C;77,10%;;;
17/01/2020;08:41:57;dia;23,6 °C; 23,6 °C; 25,5 °C; 26,3 °C; 22,5 °C; 21,1 °C;76,90%;;;
17/01/2020;08:43:57;dia;23,5 °C; 23,4 °C; 25,4 °C; 26,2 °C; 22,3 °C; 20,9 °C;76,30%;;;
17/01/2020;08:45:57;dia;23,6 °C; 23,6 °C; 25,5 °C; 26,3 °C; 22,5 °C; 21,1 °C;76,50%;;;
17/01/2020;08:47:57;dia;23,6 °C; 23,6 °C; 25,5 °C; 26,3 °C; 22,5 °C; 21,1 °C;76,70%;;;
17/01/2020;08:49:57;dia;23,7 °C; 23,6 °C; 25,6 °C; 26,5 °C; 22,5 °C; 21,1 °C;76,10%;;;
17/01/2020;08:51:57;dia;23,7 °C; 23,6 °C; 25,6 °C; 26,3 °C; 22,6 °C; 21,2 °C;76,70%;;;
17/01/2020;08:53:57;dia;23,6 °C; 23,5 °C; 25,5 °C; 26,2 °C; 22,5 °C; 21,1 °C;76,90%;;;
17/01/2020;08:55:57;dia;23,8 °C; 23,7 °C; 25,6 °C; 26,3 °C; 22,7 °C; 21,4 °C;77,60%;;;
17/01/2020;08:57:57;dia;23,7 °C; 23,7 °C; 25,6 °C; 26,4 °C; 22,6 °C; 21,3 °C;77,30%;;;
17/01/2020;08:59:57;dia;24,1 °C; 24,0 °C; 25,9 °C; 26,9 °C; 22,9 °C; 21,5 °C;76,80%;;;
17/01/2020;09:01:57;dia;24,2 °C; 24,1 °C; 26,0 °C; 27,1 °C; 23,0 °C; 21,6 °C;76,60%;;;
17/01/2020;09:03:57;dia;24,2 °C; 24,1 °C; 26,0 °C; 27,2 °C; 22,9 °C; 21,5 °C;76,20%;;;
17/01/2020;09:05:57;dia;24,2 °C; 24,1 °C; 26,1 °C; 27,3 °C; 22,9 °C; 21,5 °C;75,90%;;;
17/01/2020;09:07:57;dia;24,3 °C; 24,2 °C; 26,1 °C; 27,7 °C; 22,9 °C; 21,4 °C;75,50%;;;
17/01/2020;09:09:57;dia;24,3 °C; 24,1 °C; 26,2 °C; 27,7 °C; 22,8 °C; 21,2 °C;73,80%;;;
17/01/2020;09:11:57;dia;24,4 °C; 24,2 °C; 26,3 °C; 27,8 °C; 22,9 °C; 21,3 °C;73,90%;;;
17/01/2020;09:13:57;dia;24,4 °C; 24,3 °C; 26,2 °C; 27,3 °C; 23,1 °C; 21,7 °C;76,10%;;;
17/01/2020;09:15:57;dia;24,2 °C; 24,1 °C; 26,2 °C; 27,1 °C; 23,0 °C; 21,6 °C;76,00%;;;
17/01/2020;09:17:57;dia;24,1 °C; 24,0 °C; 26,0 °C; 27,0 °C; 22,9 °C; 21,5 °C;76,40%;;;
17/01/2020;09:19:57;dia;24,1 °C; 24,0 °C; 26,0 °C; 27,0 °C; 22,8 °C; 21,4 °C;75,80%;;;
17/01/2020;09:21:57;dia;23,6 °C; 23,5 °C; 25,4 °C; 26,5 °C; 22,4 °C; 21,1 °C;77,30%;;;
17/01/2020;09:23:57;dia;23,9 °C; 23,8 °C; 25,7 °C; 26,6 °C; 22,7 °C; 21,4 °C;77,30%;;;
17/01/2020;09:25:57;dia;23,6 °C; 23,5 °C; 25,0 °C; 26,1 °C; 22,5 °C; 21,4 °C;80,70%;;;
17/01/2020;09:27:57;dia;23,5 °C; 23,4 °C; 25,0 °C; 26,0 °C; 22,4 °C; 21,2 °C;79,40%;;;
17/01/2020;09:29:57;dia;23,7 °C; 23,6 °C; 25,2 °C; 26,1 °C; 22,7 °C; 21,6 °C;80,70%;;;
17/01/2020;09:31:57;dia;23,9 °C; 23,8 °C; 25,4 °C; 26,2 °C; 22,9 °C; 21,8 °C;80,30%;;;
17/01/2020;09:33:57;dia;23,9 °C; 23,8 °C; 25,5 °C; 26,4 °C; 22,8 °C; 21,6 °C;79,20%;;;
17/01/2020;09:35:57;dia;23,9 °C; 23,8 °C; 25,6 °C; 26,9 °C; 22,6 °C; 21,3 °C;77,20%;;;
17/01/2020;09:37:57;dia;24,1 °C; 23,9 °C; 25,7 °C; 27,0 °C; 22,8 °C; 21,5 °C;77,60%;;;
17/01/2020;09:39:57;dia;24,2 °C; 24,1 °C; 26,0 °C; 27,3 °C; 22,9 °C; 21,5 °C;76,50%;;;
17/01/2020;09:41:57;dia;24,2 °C; 24,1 °C; 26,1 °C; 27,6 °C; 22,8 °C; 21,3 °C;75,00%;;;
17/01/2020;09:43:57;dia;24,0 °C; 23,8 °C; 25,6 °C; 27,1 °C; 22,6 °C; 21,2 °C;76,70%;;;
17/01/2020;09:45:57;dia;23,7 °C; 23,5 °C; 25,3 °C; 26,6 °C; 22,4 °C; 21,0 °C;77,20%;;;
17/01/2020;09:47:57;dia;23,6 °C; 23,5 °C; 25,3 °C; 26,6 °C; 22,3 °C; 20,9 °C;76,70%;;;
17/01/2020;09:49:56;dia;23,3 °C; 23,2 °C; 24,9 °C; 26,0 °C; 22,2 °C; 21,0 °C;79,00%;;;
17/01/2020;09:51:56;dia;23,5 °C; 23,4 °C; 25,0 °C; 26,2 °C; 22,3 °C; 21,1 °C;79,00%;;;
17/01/2020;09:53:56;dia;23,4 °C; 23,2 °C; 24,9 °C; 26,4 °C; 22,1 °C; 20,8 °C;78,00%;;;
17/01/2020;09:55:56;dia;23,8 °C; 23,7 °C; 25,4 °C; 26,7 °C; 22,6 °C; 21,3 °C;78,00%;;;
17/01/2020;09:57:56;dia;24,0 °C; 23,9 °C; 25,8 °C; 27,3 °C; 22,6 °C; 21,2 °C;75,80%;;;
17/01/2020;09:59:56;dia;23,7 °C; 23,5 °C; 25,4 °C; 27,3 °C; 22,2 °C; 20,7 °C;75,10%;;;
17/01/2020;10:01:56;dia;24,0 °C; 23,9 °C; 25,9 °C; 27,6 °C; 22,5 °C; 20,9 °C;74,00%;;;
17/01/2020;10:03:56;dia;23,9 °C; 23,8 °C; 25,8 °C; 27,5 °C; 22,4 °C; 20,9 °C;74,40%;;;
17/01/2020;10:05:56;dia;24,0 °C; 23,8 °C; 25,9 °C; 27,5 °C; 22,5 °C; 20,9 °C;73,90%;;;
17/01/2020;10:07:56;dia;24,0 °C; 23,8 °C; 25,9 °C; 27,5 °C; 22,5 °C; 21,0 °C;74,20%;;;
17/01/2020;10:09:56;dia;23,7 °C; 23,5 °C; 25,5 °C; 27,3 °C; 22,1 °C; 20,5 °C;74,10%;;;
17/01/2020;10:11:56;dia;23,8 °C; 23,6 °C; 25,6 °C; 27,0 °C; 22,4 °C; 21,0 °C;75,70%;;;
17/01/2020;10:13:56;dia;23,9 °C; 23,7 °C; 25,7 °C; 27,1 °C; 22,5 °C; 21,0 °C;75,30%;;;
17/01/2020;10:15:56;dia;23,7 °C; 23,6 °C; 25,7 °C; 27,2 °C; 22,2 °C; 20,5 °C;73,20%;;;
17/01/2020;10:17:56;dia;23,9 °C; 23,8 °C; 25,9 °C; 27,2 °C; 22,5 °C; 20,9 °C;74,00%;;;
17/01/2020;10:19:56;dia;23,9 °C; 23,8 °C; 26,0 °C; 27,5 °C; 22,4 °C; 20,8 °C;72,90%;;;
17/01/2020;10:21:56;dia;23,7 °C; 23,5 °C; 25,6 °C; 27,3 °C; 22,1 °C; 20,4 °C;73,00%;;;
17/01/2020;10:23:56;dia;23,8 °C; 23,6 °C; 25,6 °C; 27,3 °C; 22,3 °C; 20,7 °C;74,40%;;;
17/01/2020;10:25:56;dia;24,0 °C; 23,8 °C; 26,0 °C; 27,7 °C; 22,4 °C; 20,7 °C;72,80%;;;
17/01/2020;10:27:56;dia;24,4 °C; 24,2 °C; 26,4 °C; 28,1 °C; 22,8 °C; 21,1 °C;72,70%;;;
17/01/2020;10:29:56;dia;24,2 °C; 24,0 °C; 26,0 °C; 27,9 °C; 22,6 °C; 21,0 °C;74,20%;;;
17/01/2020;10:31:56;dia;24,7 °C; 24,5 °C; 26,8 °C; 28,8 °C; 22,9 °C; 21,2 °C;71,40%;;;
17/01/2020;10:33:56;dia;24,5 °C; 24,3 °C; 26,8 °C; 29,2 °C; 22,5 °C; 20,5 °C;68,60%;;;
17/01/2020;10:35:56;dia;24,5 °C; 24,3 °C; 26,8 °C; 29,0 °C; 22,6 °C; 20,7 °C;69,40%;;;
17/01/2020;10:37:56;dia;24,8 °C; 24,6 °C; 27,1 °C; 29,5 °C; 22,8 °C; 20,8 °C;68,40%;;;
17/01/2020;10:39:56;dia;24,4 °C; 24,1 °C; 26,5 °C; 29,3 °C; 22,3 °C; 20,3 °C;68,90%;;;
17/01/2020;10:41:56;dia;25,2 °C; 25,0 °C; 27,4 °C; 29,5 °C; 23,3 °C; 21,4 °C;70,00%;;;
17/01/2020;10:43:56;dia;25,1 °C; 24,9 °C; 27,6 °C; 29,7 °C; 23,1 °C; 21,1 °C;67,80%;;;
17/01/2020;10:45:56;dia;24,8 °C; 24,6 °C; 27,3 °C; 29,1 °C; 23,0 °C; 21,1 °C;69,00%;;;
17/01/2020;10:47:56;dia;24,4 °C; 24,2 °C; 26,8 °C; 28,7 °C; 22,6 °C; 20,7 °C;69,40%;;;
17/01/2020;10:49:56;dia;24,1 °C; 23,9 °C; 26,2 °C; 28,2 °C; 22,4 °C; 20,7 °C;71,80%;;;
17/01/2020;10:51:56;dia;24,6 °C; 24,4 °C; 26,9 °C; 28,5 °C; 22,9 °C; 21,1 °C;70,50%;;;
17/01/2020;10:53:56;dia;24,8 °C; 24,6 °C; 27,1 °C; 29,1 °C; 23,0 °C; 21,1 °C;69,70%;;;
17/01/2020;10:55:56;dia;24,8 °C; 24,6 °C; 27,1 °C; 29,1 °C; 22,9 °C; 21,0 °C;69,50%;;;
17/01/2020;10:57:56;dia;25,2 °C; 24,9 °C; 27,4 °C; 29,8 °C; 23,2 °C; 21,3 °C;69,50%;;;
17/01/2020;10:59:56;dia;24,8 °C; 24,6 °C; 27,1 °C; 29,8 °C; 22,7 °C; 20,7 °C;68,10%;;;
17/01/2020;11:01:56;dia;25,4 °C; 25,2 °C; 27,8 °C; 30,2 °C; 23,4 °C; 21,4 °C;68,30%;;;
17/01/2020;11:03:56;dia;25,1 °C; 24,9 °C; 27,1 °C; 29,6 °C; 23,2 °C; 21,4 °C;71,10%;;;
17/01/2020;11:05:56;dia;25,5 °C; 25,3 °C; 27,8 °C; 29,9 °C; 23,6 °C; 21,7 °C;69,40%;;;
17/01/2020;11:07:56;dia;25,4 °C; 25,2 °C; 27,8 °C; 29,7 °C; 23,6 °C; 21,8 °C;69,80%;;;
17/01/2020;11:09:56;dia;25,5 °C; 25,4 °C; 28,0 °C; 29,8 °C; 23,7 °C; 21,8 °C;69,20%;;;
17/01/2020;11:11:56;dia;25,7 °C; 25,5 °C; 28,2 °C; 30,0 °C; 23,9 °C; 22,1 °C;69,60%;;;
17/01/2020;11:13:56;dia;25,7 °C; 25,6 °C; 28,2 °C; 29,5 °C; 24,1 °C; 22,3 °C;70,30%;;;
17/01/2020;11:15:56;dia;26,1 °C; 26,0 °C; 28,3 °C; 29,4 °C; 24,7 °C; 23,2 °C;73,90%;;;
17/01/2020;11:17:56;dia;26,4 °C; 26,3 °C; 28,5 °C; 29,4 °C; 25,1 °C; 23,8 °C;75,80%;;;
17/01/2020;11:19:56;dia;26,3 °C; 26,2 °C; 28,4 °C; 29,1 °C; 25,1 °C; 23,8 °C;76,20%;;;
17/01/2020;11:21:56;dia;26,4 °C; 26,3 °C; 28,4 °C; 29,1 °C; 25,2 °C; 23,9 °C;76,50%;;;
17/01/2020;11:23:56;dia;25,5 °C; 25,3 °C; 27,7 °C; 29,1 °C; 23,9 °C; 22,3 °C;72,30%;;;
17/01/2020;11:25:56;dia;25,8 °C; 25,7 °C; 27,6 °C; 28,8 °C; 24,5 °C; 23,2 °C;77,10%;;;
17/01/2020;11:27:56;dia;25,2 °C; 25,1 °C; 27,2 °C; 28,6 °C; 23,8 °C; 22,4 °C;75,20%;;;
17/01/2020;11:29:56;dia;25,4 °C; 25,3 °C; 27,2 °C; 28,1 °C; 24,2 °C; 23,0 °C;77,70%;;;
17/01/2020;11:31:56;dia;25,4 °C; 25,3 °C; 27,3 °C; 28,2 °C; 24,2 °C; 22,9 °C;76,90%;;;
17/01/2020;11:33:56;dia;25,4 °C; 25,3 °C; 27,4 °C; 28,5 °C; 24,1 °C; 22,7 °C;75,60%;;;
17/01/2020;11:35:56;dia;25,5 °C; 25,4 °C; 27,4 °C; 28,4 °C; 24,3 °C; 23,0 °C;76,80%;;;
17/01/2020;11:37:56;dia;25,1 °C; 25,0 °C; 27,2 °C; 28,3 °C; 23,7 °C; 22,2 °C;74,10%;;;
17/01/2020;11:39:56;dia;25,0 °C; 24,9 °C; 27,0 °C; 28,2 °C; 23,6 °C; 22,1 °C;74,70%;;;
17/01/2020;11:41:56;dia;25,1 °C; 25,0 °C; 27,1 °C; 28,4 °C; 23,7 °C; 22,3 °C;75,10%;;;
17/01/2020;11:43:56;dia;24,9 °C; 24,8 °C; 27,0 °C; 28,3 °C; 23,5 °C; 22,0 °C;74,30%;;;
17/01/2020;11:45:56;dia;25,3 °C; 25,1 °C; 27,1 °C; 28,5 °C; 23,9 °C; 22,5 °C;76,10%;;;
17/01/2020;11:47:56;dia;25,7 °C; 25,5 °C; 27,5 °C; 29,2 °C; 24,2 °C; 22,8 °C;75,60%;;;
17/01/2020;11:49:56;dia;25,9 °C; 25,8 °C; 27,8 °C; 29,3 °C; 24,5 °C; 23,1 °C;75,50%;;;
17/01/2020;11:51:56;dia;26,0 °C; 25,9 °C; 28,1 °C; 29,4 °C; 24,6 °C; 23,1 °C;74,50%;;;
17/01/2020;11:53:56;dia;26,2 °C; 26,0 °C; 28,3 °C; 29,8 °C; 24,6 °C; 23,1 °C;73,60%;;;
17/01/2020;11:55:56;dia;26,4 °C; 26,2 °C; 28,5 °C; 30,2 °C; 24,8 °C; 23,3 °C;73,60%;;;
17/01/2020;11:57:56;dia;26,5 °C; 26,3 °C; 28,7 °C; 30,5 °C; 24,8 °C; 23,2 °C;72,30%;;;
17/01/2020;11:59:56;dia;26,7 °C; 26,6 °C; 28,9 °C; 30,8 °C; 25,0 °C; 23,4 °C;72,30%;;;
17/01/2020;12:01:56;dia;26,6 °C; 26,4 °C; 29,0 °C; 30,9 °C; 24,8 °C; 23,0 °C;70,30%;;;
17/01/2020;12:03:56;dia;25,9 °C; 25,7 °C; 28,2 °C; 30,3 °C; 24,0 °C; 22,2 °C;70,10%;;;
17/01/2020;12:05:56;dia;25,3 °C; 25,0 °C; 27,1 °C; 29,9 °C; 23,3 °C; 21,6 °C;72,00%;;;
17/01/2020;12:07:56;dia;25,2 °C; 24,9 °C; 26,8 °C; 29,5 °C; 23,3 °C; 21,7 °C;73,80%;;;
17/01/2020;12:09:56;dia;25,1 °C; 24,9 °C; 26,7 °C; 29,4 °C; 23,3 °C; 21,8 °C;74,50%;;;
17/01/2020;12:11:56;dia;25,3 °C; 25,1 °C; 26,9 °C; 29,3 °C; 23,6 °C; 22,2 °C;75,30%;;;
17/01/2020;12:13:56;dia;25,5 °C; 25,3 °C; 27,5 °C; 28,9 °C; 24,0 °C; 22,5 °C;74,10%;;;
17/01/2020;12:15:56;dia;25,4 °C; 25,3 °C; 28,0 °C; 28,7 °C; 24,0 °C; 22,3 °C;71,10%;;;
17/01/2020;12:17:56;dia;25,6 °C; 25,6 °C; 28,2 °C; 28,7 °C; 24,3 °C; 22,7 °C;72,10%;;;
17/01/2020;12:19:56;dia;25,9 °C; 25,9 °C; 28,5 °C; 28,8 °C; 24,7 °C; 23,1 °C;72,50%;;;
17/01/2020;12:21:56;dia;25,7 °C; 25,7 °C; 28,7 °C; 29,0 °C; 24,3 °C; 22,5 °C;69,30%;;;
17/01/2020;12:23:56;dia;25,6 °C; 25,5 °C; 28,3 °C; 29,2 °C; 24,0 °C; 22,1 °C;69,10%;;;
17/01/2020;12:25:56;dia;25,7 °C; 25,5 °C; 28,2 °C; 29,8 °C; 23,9 °C; 22,1 °C;69,40%;;;
17/01/2020;12:27:56;dia;25,7 °C; 25,4 °C; 28,0 °C; 30,3 °C; 23,7 °C; 21,8 °C;69,00%;;;
17/01/2020;12:29:56;dia;25,4 °C; 25,1 °C; 27,6 °C; 30,0 °C; 23,4 °C; 21,6 °C;69,80%;;;
17/01/2020;12:31:56;dia;25,4 °C; 25,2 °C; 27,7 °C; 29,4 °C; 23,7 °C; 21,9 °C;70,60%;;;
17/01/2020;12:33:56;dia;25,5 °C; 25,4 °C; 27,7 °C; 29,4 °C; 23,9 °C; 22,3 °C;72,70%;;;
17/01/2020;12:35:56;dia;25,7 °C; 25,5 °C; 27,8 °C; 29,4 °C; 24,1 °C; 22,6 °C;73,20%;;;
17/01/2020;12:37:56;dia;25,5 °C; 25,4 °C; 27,7 °C; 29,0 °C; 24,0 °C; 22,5 °C;73,50%;;;
17/01/2020;12:39:56;dia;25,0 °C; 24,8 °C; 26,9 °C; 28,2 °C; 23,6 °C; 22,2 °C;75,40%;;;
17/01/2020;12:41:56;dia;24,8 °C; 24,8 °C; 26,6 °C; 27,5 °C; 23,7 °C; 22,5 °C;78,30%;;;
17/01/2020;12:43:56;dia;25,1 °C; 25,0 °C; 26,8 °C; 27,6 °C; 24,0 °C; 22,9 °C;79,40%;;;
17/01/2020;12:45:56;dia;25,0 °C; 24,8 °C; 26,6 °C; 27,9 °C; 23,7 °C; 22,5 °C;78,40%;;;
17/01/2020;12:47:56;dia;25,3 °C; 25,2 °C; 26,9 °C; 28,0 °C; 24,1 °C; 22,9 °C;78,70%;;;
17/01/2020;12:49:56;dia;25,4 °C; 25,3 °C; 27,1 °C; 28,5 °C; 24,1 °C; 22,9 °C;77,70%;;;
17/01/2020;12:51:56;dia;25,0 °C; 24,9 °C; 26,8 °C; 28,4 °C; 23,6 °C; 22,2 °C;76,10%;;;
17/01/2020;12:53:56;dia;25,0 °C; 24,8 °C; 26,8 °C; 28,2 °C; 23,6 °C; 22,3 °C;76,50%;;;
17/01/2020;12:55:56;dia;25,0 °C; 24,9 °C; 27,0 °C; 28,4 °C; 23,6 °C; 22,2 °C;74,90%;;;
17/01/2020;12:57:56;dia;25,1 °C; 25,0 °C; 27,1 °C; 28,3 °C; 23,7 °C; 22,3 °C;75,00%;;;
17/01/2020;12:59:56;dia;24,8 °C; 24,6 °C; 26,8 °C; 28,4 °C; 23,2 °C; 21,6 °C;73,20%;;;
17/01/2020;13:01:56;dia;24,4 °C; 24,3 °C; 26,0 °C; 27,8 °C; 23,0 °C; 21,6 °C;76,80%;;;
17/01/2020;13:03:56;dia;24,7 °C; 24,6 °C; 26,5 °C; 27,5 °C; 23,5 °C; 22,2 °C;77,30%;;;
17/01/2020;13:05:56;dia;24,5 °C; 24,4 °C; 26,4 °C; 27,4 °C; 23,3 °C; 21,9 °C;76,40%;;;
17/01/2020;13:07:56;dia;24,6 °C; 24,5 °C; 26,4 °C; 27,7 °C; 23,3 °C; 21,9 °C;76,50%;;;
17/01/2020;13:09:56;dia;24,7 °C; 24,6 °C; 26,4 °C; 27,7 °C; 23,4 °C; 22,1 °C;77,30%;;;
17/01/2020;13:11:56;dia;25,0 °C; 24,8 °C; 26,6 °C; 28,0 °C; 23,7 °C; 22,4 °C;77,70%;;;
17/01/2020;13:13:56;dia;24,9 °C; 24,7 °C; 26,7 °C; 28,3 °C; 23,4 °C; 22,0 °C;75,50%;;;
17/01/2020;13:15:56;dia;25,0 °C; 24,9 °C; 26,7 °C; 28,4 °C; 23,6 °C; 22,3 °C;76,80%;;;
17/01/2020;13:17:56;dia;24,8 °C; 24,7 °C; 26,5 °C; 28,2 °C; 23,4 °C; 22,0 °C;76,40%;;;
17/01/2020;13:19:56;dia;25,0 °C; 24,8 °C; 26,7 °C; 28,1 °C; 23,6 °C; 22,3 °C;77,00%;;;
17/01/2020;13:21:56;dia;25,1 °C; 24,9 °C; 26,5 °C; 28,4 °C; 23,7 °C; 22,5 °C;78,70%;;;
17/01/2020;13:23:56;dia;25,0 °C; 24,8 °C; 26,7 °C; 28,2 °C; 23,6 °C; 22,2 °C;76,60%;;;
17/01/2020;13:25:56;dia;25,2 °C; 25,0 °C; 26,8 °C; 28,3 °C; 23,8 °C; 22,6 °C;77,60%;;;
17/01/2020;13:27:56;dia;25,0 °C; 24,9 °C; 26,5 °C; 28,1 °C; 23,7 °C; 22,5 °C;78,60%;;;
17/01/2020;13:29:56;dia;25,2 °C; 25,1 °C; 27,0 °C; 28,5 °C; 23,8 °C; 22,5 °C;76,50%;;;
17/01/2020;13:31:56;dia;25,6 °C; 25,5 °C; 27,5 °C; 28,9 °C; 24,2 °C; 22,9 °C;75,90%;;;
17/01/2020;13:33:56;dia;26,0 °C; 25,9 °C; 27,9 °C; 29,4 °C; 24,6 °C; 23,2 °C;75,60%;;;
17/01/2020;13:35:56;dia;26,3 °C; 26,1 °C; 28,3 °C; 30,1 °C; 24,7 °C; 23,3 °C;74,50%;;;
17/01/2020;13:37:56;dia;26,7 °C; 26,5 °C; 28,7 °C; 30,6 °C; 25,0 °C; 23,5 °C;73,60%;;;
17/01/2020;13:39:56;dia;26,9 °C; 26,7 °C; 29,0 °C; 31,0 °C; 25,2 °C; 23,7 °C;73,00%;;;
17/01/2020;13:41:56;dia;27,2 °C; 26,9 °C; 29,3 °C; 31,5 °C; 25,3 °C; 23,7 °C;72,10%;;;
17/01/2020;13:43:56;dia;27,5 °C; 27,3 °C; 29,7 °C; 32,0 °C; 25,6 °C; 24,0 °C;71,50%;;;
17/01/2020;13:45:56;dia;27,7 °C; 27,4 °C; 29,9 °C; 32,3 °C; 25,7 °C; 24,1 °C;71,00%;;;
17/01/2020;13:47:56;dia;27,8 °C; 27,6 °C; 30,2 °C; 32,4 °C; 25,9 °C; 24,2 °C;70,40%;;;
17/01/2020;13:49:56;dia;27,9 °C; 27,7 °C; 30,3 °C; 32,5 °C; 25,9 °C; 24,2 °C;70,00%;;;
17/01/2020;13:51:56;dia;28,0 °C; 27,8 °C; 30,5 °C; 32,5 °C; 26,1 °C; 24,4 °C;69,90%;;;
17/01/2020;13:53:56;dia;28,0 °C; 27,8 °C; 30,5 °C; 32,5 °C; 26,1 °C; 24,4 °C;69,80%;;;
17/01/2020;13:55:56;dia;28,0 °C; 27,8 °C; 30,6 °C; 32,6 °C; 26,1 °C; 24,4 °C;69,60%;;;
17/01/2020;13:57:56;dia;28,2 °C; 28,0 °C; 30,8 °C; 32,9 °C; 26,2 °C; 24,5 °C;69,30%;;;
17/01/2020;13:59:56;dia;28,5 °C; 28,2 °C; 31,0 °C; 33,3 °C; 26,4 °C; 24,6 °C;68,70%;;;
17/01/2020;14:01:56;dia;28,7 °C; 28,4 °C; 31,3 °C; 33,8 °C; 26,5 °C; 24,7 °C;67,90%;;;
17/01/2020;14:03:56;dia;29,0 °C; 28,7 °C; 31,6 °C; 34,5 °C; 26,6 °C; 24,7 °C;66,90%;;;
17/01/2020;14:05:56;dia;28,0 °C; 27,6 °C; 30,7 °C; 34,4 °C; 25,2 °C; 22,9 °C;63,30%;;;
