Data;Hora;Turno;IBUTG (Int.);IBUTG (Ext.);TA;TG;TBU;Ponto de orvalho;UR;;;
16/01/2020;11:58:00;dia;34,0 °C; 33,7 °C; 41,7 °C; 44,4 °C; 29,5 °C; 25,0 °C;39,30%;;;
16/01/2020;12:00:00;dia;34,0 °C; 33,7 °C; 41,9 °C; 44,1 °C; 29,6 °C; 25,1 °C;39,00%;;;
16/01/2020;12:02:00;dia;34,0 °C; 33,8 °C; 42,1 °C; 44,0 °C; 29,7 °C; 25,2 °C;38,90%;;;
16/01/2020;12:04:00;dia;34,0 °C; 33,8 °C; 42,2 °C; 43,8 °C; 29,8 °C; 25,3 °C;38,90%;;;
16/01/2020;12:06:00;dia;34,0 °C; 33,9 °C; 42,3 °C; 43,7 °C; 29,9 °C; 25,4 °C;38,90%;;;
16/01/2020;12:08:00;dia;34,1 °C; 34,0 °C; 42,3 °C; 43,7 °C; 30,0 °C; 25,5 °C;39,10%;;;
16/01/2020;12:10:00;dia;34,1 °C; 34,0 °C; 42,4 °C; 43,6 °C; 30,0 °C; 25,6 °C;39,20%;;;
16/01/2020;12:12:00;dia;34,2 °C; 34,0 °C; 42,4 °C; 43,6 °C; 30,1 °C; 25,7 °C;39,30%;;;
16/01/2020;12:14:00;dia;33,0 °C; 32,8 °C; 40,9 °C; 43,0 °C; 28,7 °C; 23,9 °C;38,30%;;;
16/01/2020;12:16:00;dia;33,5 °C; 33,2 °C; 40,8 °C; 43,4 °C; 29,2 °C; 24,8 °C;40,60%;;;
16/01/2020;12:18:00;dia;34,5 °C; 33,8 °C; 40,8 °C; 47,8 °C; 28,8 °C; 24,2 °C;39,30%;;;
16/01/2020;12:20:00;dia;34,4 °C; 33,8 °C; 40,4 °C; 46,8 °C; 29,1 °C; 24,9 °C;41,70%;;;
16/01/2020;12:22:00;dia;34,0 °C; 33,6 °C; 41,0 °C; 45,3 °C; 29,2 °C; 24,8 °C;40,20%;;;
16/01/2020;12:24:00;dia;34,0 °C; 33,7 °C; 41,6 °C; 44,9 °C; 29,4 °C; 24,8 °C;39,00%;;;
16/01/2020;12:26:00;dia;34,1 °C; 33,8 °C; 42,1 °C; 44,5 °C; 29,6 °C; 25,0 °C;38,30%;;;
16/01/2020;12:28:00;dia;33,8 °C; 33,6 °C; 42,2 °C; 44,0 °C; 29,4 °C; 24,6 °C;37,30%;;;
16/01/2020;12:30:00;dia;33,0 °C; 32,8 °C; 41,8 °C; 42,9 °C; 28,7 °C; 23,5 °C;35,70%;;;
16/01/2020;12:32:00;dia;33,1 °C; 33,0 °C; 41,5 °C; 42,5 °C; 29,1 °C; 24,3 °C;38,00%;;;
16/01/2020;12:34:00;dia;33,0 °C; 32,9 °C; 41,3 °C; 42,2 °C; 29,1 °C; 24,5 °C;38,80%;;;
16/01/2020;12:36:00;dia;32,9 °C; 32,8 °C; 41,1 °C; 42,1 °C; 29,0 °C; 24,3 °C;38,90%;;;
16/01/2020;12:38:00;dia;32,5 °C; 32,4 °C; 40,3 °C; 41,5 °C; 28,6 °C; 24,1 °C;40,00%;;;
16/01/2020;12:40:00;dia;32,2 °C; 32,1 °C; 40,0 °C; 40,6 °C; 28,6 °C; 24,1 °C;40,70%;;;
16/01/2020;12:42:00;dia;32,3 °C; 32,2 °C; 39,9 °C; 40,5 °C; 28,8 °C; 24,6 °C;42,00%;;;
16/01/2020;12:44:00;dia;33,0 °C; 32,6 °C; 39,7 °C; 44,3 °C; 28,2 °C; 23,6 °C;40,00%;;;
16/01/2020;12:46:00;dia;33,7 °C; 33,1 °C; 40,2 °C; 46,2 °C; 28,4 °C; 23,7 °C;39,30%;;;
16/01/2020;12:48:00;dia;34,3 °C; 33,6 °C; 40,8 °C; 47,6 °C; 28,6 °C; 23,7 °C;38,00%;;;
16/01/2020;12:50:00;dia;34,5 °C; 33,9 °C; 41,2 °C; 47,7 °C; 28,9 °C; 24,1 °C;38,10%;;;
16/01/2020;12:52:00;dia;33,6 °C; 33,1 °C; 40,4 °C; 45,6 °C; 28,5 °C; 23,8 °C;39,10%;;;
16/01/2020;12:54:00;dia;33,1 °C; 32,5 °C; 39,1 °C; 45,8 °C; 27,7 °C; 23,0 °C;39,80%;;;
16/01/2020;12:56:00;dia;34,2 °C; 33,6 °C; 40,8 °C; 47,1 °C; 28,7 °C; 24,0 °C;38,60%;;;
16/01/2020;12:58:00;dia;34,8 °C; 34,0 °C; 41,1 °C; 49,9 °C; 28,4 °C; 23,2 °C;36,40%;;;
16/01/2020;13:00:00;dia;35,5 °C; 34,5 °C; 41,8 °C; 51,0 °C; 28,8 °C; 23,6 °C;35,90%;;;
16/01/2020;13:02:00;dia;35,8 °C; 35,0 °C; 42,4 °C; 50,7 °C; 29,4 °C; 24,4 °C;36,40%;;;
16/01/2020;13:04:00;dia;34,6 °C; 34,0 °C; 41,6 °C; 47,4 °C; 29,1 °C; 24,2 °C;37,60%;;;
16/01/2020;13:06:00;dia;34,9 °C; 34,2 °C; 42,2 °C; 48,3 °C; 29,1 °C; 24,0 °C;35,90%;;;
16/01/2020;13:08:00;dia;35,2 °C; 34,5 °C; 42,5 °C; 50,3 °C; 28,8 °C; 23,3 °C;34,00%;;;
16/01/2020;13:10:00;dia;35,7 °C; 34,9 °C; 43,0 °C; 50,9 °C; 29,2 °C; 23,7 °C;33,90%;;;
16/01/2020;13:12:00;dia;35,8 °C; 35,1 °C; 43,4 °C; 50,9 °C; 29,4 °C; 23,8 °C;33,40%;;;
16/01/2020;13:14:00;dia;36,3 °C; 35,6 °C; 44,4 °C; 51,8 °C; 29,7 °C; 23,9 °C;31,90%;;;
16/01/2020;13:16:00;dia;36,6 °C; 36,0 °C; 45,6 °C; 52,1 °C; 30,0 °C; 23,9 °C;30,00%;;;
16/01/2020;13:18:00;dia;36,8 °C; 36,3 °C; 46,7 °C; 51,6 °C; 30,4 °C; 24,1 °C;28,70%;;;
16/01/2020;13:20:00;dia;36,9 °C; 36,5 °C; 47,3 °C; 51,4 °C; 30,7 °C; 24,3 °C;28,10%;;;
16/01/2020;13:22:00;dia;37,1 °C; 36,7 °C; 47,8 °C; 51,5 °C; 30,9 °C; 24,5 °C;27,80%;;;
16/01/2020;13:24:00;dia;37,0 °C; 36,7 °C; 48,0 °C; 51,0 °C; 31,0 °C; 24,6 °C;27,70%;;;
16/01/2020;13:26:00;dia;36,9 °C; 36,7 °C; 48,1 °C; 50,4 °C; 31,1 °C; 24,7 °C;27,70%;;;
16/01/2020;13:28:00;dia;36,9 °C; 36,8 °C; 48,2 °C; 50,1 °C; 31,3 °C; 25,0 °C;28,10%;;;
16/01/2020;13:30:00;dia;37,0 °C; 36,8 °C; 48,3 °C; 50,0 °C; 31,4 °C; 25,2 °C;28,20%;;;
16/01/2020;13:32:00;dia;37,0 °C; 36,8 °C; 48,3 °C; 50,0 °C; 31,4 °C; 25,1 °C;28,10%;;;
16/01/2020;13:34:00;dia;37,0 °C; 36,9 °C; 48,3 °C; 50,0 °C; 31,5 °C; 25,3 °C;28,30%;;;
16/01/2020;13:36:00;dia;37,1 °C; 37,0 °C; 48,4 °C; 50,0 °C; 31,6 °C; 25,5 °C;28,50%;;;
16/01/2020;13:38:00;dia;37,1 °C; 37,0 °C; 48,4 °C; 50,0 °C; 31,6 °C; 25,5 °C;28,60%;;;
16/01/2020;13:40:00;dia;37,3 °C; 37,2 °C; 48,5 °C; 50,2 °C; 31,8 °C; 25,8 °C;28,90%;;;
16/01/2020;13:42:00;dia;37,4 °C; 37,2 °C; 48,5 °C; 50,3 °C; 31,9 °C; 26,1 °C;29,50%;;;
16/01/2020;13:44:00;dia;37,5 °C; 37,4 °C; 48,5 °C; 50,2 °C; 32,1 °C; 26,5 °C;30,20%;;;
16/01/2020;13:46:00;dia;37,5 °C; 37,4 °C; 48,5 °C; 50,0 °C; 32,2 °C; 26,7 °C;30,60%;;;
